198,C,CEL729,ADVANCED DESIGN OF BRIDGES,3,2,1,,SUPRATIC GUPTA,100
199,C,CEL754,GEOTECHNICAL PROCESSES IN ROCK ENGG,3,3,0,,TANUSREE CHAKRABORTY,100
200,C,CEL772,QUANTITATIVE METHODS IN CONSTRUCTION MANAGEMENT,3,2,1,,VASANT A MATSAGAR,100
201,C,CEL797,ENVIRONMENTAL  IMPACT ASSESSMENT,3,3,0,,ARVIND KUMAR NEMA,100
202,D,CEL840,STOCHASTIC  HYDROLOGY,3,3,0,,RAKESH KHOSA,100
203,D,CEL795,WATER AND WASTE-WATER TREATMENT PROCESSES,3,3,0,,ARUN KUMAR,100
204,D,CEL773,MANAGEMENT OF QUALITY AND SAFETY IN CONSTRUCTION,3,2,1,,J UMA MAHESWARI,100
205,D,CEL783,TRAFFIC ENGG,4,3,0,,RAMACHANDRA RAO KALAGA,100
206,D,CEL751,ENGINEERING PROPERTIES OF ROCKS & ROCK,3,3,0,,K G SHARMA,100
207,D,CEL761,UNDERGROUND SPACE TECH,3,3,0,,K S RAO,100
208,D,CEL705,GEOENVIRONMENTAL ENGINEERING,3,3,0,,VENKATA RAMANA GUNTURI,100
209,D,CEL719,STRUCTURAL DYNAMICS,3,3,0,,A K JAIN,100
210,D,CEL721,DESIGN OF CONCRETE STRUCTURE,3,2,1,,S N SINHA,100
211,D,CEL455,INTRODUCTION TO GEOGRAPHIC  INFORMATION SYSTEMS,3,2,0,,A K GOSAIN,50
212,D,CEL442,TRAFFIC AND TRANSPORTATION  PLANNING,3,2,1,,S K DEB,100
213,D,CEL231,STRUCTURAL ANALYSIS I,5,3,1,,ASHOK GUPTA,100
214,E,CEL321,GEOTECHNICAL  ENGINEERING,5.5,3,1,,JAGDISH TELANGRAO SHAHU,100
215,E,CEL421,GROUND IMPROVEMENT,4,3,0,,B MUNWAR BASHA,100
216,E,CEL451,WATER POWER ENGINEERING,4,3,0,,DEO RAJ KAUSHAL,30
217,E,CEL757,FIELD EXPLORATION AND MEASUREMENT,3,3,0,,R AYOTHIRAMAN,100
218,E,CEL739,GROUNDWATER  HYDROLOGY,3,3,0,,BHAGU RAM CHAHAR,100
219,E,CEL734,MATHEMATICAL AND NUMERICAL METHODS,3,2,1,,VASANT A MATSAGAR,100
220,E,CEL774,CONSTRUCTION  ENGINEERING PRACTICES,3,3,0,,B BHATTACHARJEE,100
221,E,CEL891,THERMAL TECHNICS FOR WASTE MANAGEMENT,3,3,0,,BABU J ALAPPAT,100
222,F,CEL899,ENVIRONMENTAL RISK ASSESSMENT,3,3,0,,ARUN KUMAR,100
223,F,CEP726,STRUCTURAL ENGG LAB,3,0,0,,DIPTI RANJAN SAHOO,100
224,F,CEL771,CIVIL ENGG MATERIALS,3,3,0,,SHASHANK BISHNOI,100
225,F,CEL431,ADVANCED STRUCTURAL ANALYSIS,3,2,0,,T K DATTA,100
226,F,CEL422,ROCK ENGINEERING,3,3,0,,VENKATA RAMANA GUNTURI,100
227,F,CEL331,STRUCTURAL ANALYSIS II,5,3,1,,SURESH BHALLA,100
228,F,CEL251,HYDROLOGY AND HYDRAULICS,6,3,1,,SHASHI MATHUR,100
229,H,CEL339,CONCRETE TECHNLOGY AND MATERIALS,3,3,0,,G S BANIPAL,100
230,H,CEL120,POLLUTION PREVENTION AND CONTROL,3,3,0,,MUKESH KHARE,100
231,H,CEL433,ADVANCED STRUCTURAL DESIGN,4,3,0,,ALOK MADAN,50
232,H,CEL727,DESIGN OF INDUSTRIAL STRUCTURES,3,2,1,,SURESH BHALLA,100
233,J,CEL610,FOUNDATION  ENGINEERING,3,3,0,,BAPPADITYA MANNA,100
234,J,CEL140,ENVIRONMENTAL  STUDIES,3,3,0,,BABU J ALAPPAT,100
235,K,CEL782,PAVEMENT MATERIALS AND CONSTRUCTION  TECHNIQUES,3,2,0,,RAMACHANDRA RAO KALAGA,100
236,K,CEP789,ENVIRONMENTAL  CHEMISTRY AND MICROBIOLOGY,3,1,0,,ATUL KUMAR MITTAL,100
237,L,CEL787,TRANSPORTATION  SAFETY AND ENVIRONMENT,3,3,0,,DINESH MOHAN,100
238,M,CEL781,URBAN & REGIONAL TRANSPORTATION  PLANNING,3,2,0,,GEETAM TEWARI,100
239,M,CEC410,COLLOQUIUM (CE),3,0,3,,K G SHARMA,100
240,N,CEN110,INTRODUCTION TO CIVIL ENGINEERING,2,0,0,,BHAGU RAM CHAHAR,100
241,P,CEN760,METRO PROFESSIONAL PRACTICES,2,0,2,,KUMAR NEERAJ JHA,100
242,P,CEP701,SOIL ENGINEERING LABORATORY,3,0,0,,B MUNWAR BASHA,100
243,P,CEP740,SIMULATION  LABORATORY,4,1,0,,N K GARG,100
244,P,CEP751,ROCK MECHANICS LAB-I,3,0,0,,K S RAO,100
245,P,CEP770,COMPUTATION LAB FOR CONSTRUCTION  MANAGMENT,3,0,0,,J UMA MAHESWARI,100
246,P,CES810,INDEPENDENT STUDY,3,0,3,,R AYOTHIRAMAN,100
