105,H,CEL433,ADVANCED STRUCTURAL DESIGN,4.0,3,0,2,ALOK MADAN,0,
106,D,CEL442,TRAFFIC AND TRANSPORTATION PLANNING,3.0,2,1,0,RAMACHAND RA KALAGA,0,
107,H,CEL451,WATER POWER ENGINEERING,4.0,3,0,2,SUMEDHA CHAKMA,0,
108,D,CEL455,INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEMS,3.0,2,0,2,A K GOSAIN,0,
109,F,CEL459,RIVER MECHANICS,3.0,2,0,2,DEO KAUSHAL,0,
110,A,CEL701,ENGINEERING BEHAVIOUR OF SOILS,3.0,3,0,0,VENKATA RAMANA,0,CORE
111,B,CEL703,SITE INVESTIGATIONS AND GROUND IMPROVEMENT,3.0,3,0,0,MANOJ DATTA,0,CORE
112,D,CEL705,GEOENVIRONMENTAL ENGINEERING,3.0,3,0,0,JAGDISH SHAHU,0,CORE
113,A,CEL707,SOIL DYNAMICS AND GEOTECHNICAL EARTHQUAKE ENGG,3.0,3,0,0,R AYOTHIRAMA N,0,
114,B,CEL717,ADVANCED STRUCTURAL ANALYSIS,3.0,3,0,0,SURESH BHALLA,0,CORE
115,F,CEL719,STRUCTURAL DYNAMICS,3.0,3,0,0,VASANT MATSAGAR,0,CORE
116,A,CEL729,ADVANCED DESIGN OF BRIDGES,3.0,2,1,0,SUPRATIC GUPTA,0,
117,A,CEL731,PSC/COMPOSITE STRUCTURES,3.0,3,0,0,A K NAGPAL,0,
118,D,CEL733,FEM IN STRUCTURAL ENGINEERING,3.0,2,1,0,A K NAGPAL,0,CORE
119,E,CEL734,MATHEMATICAL AND NUMERICAL METHODS,3.0,2,1,0,ABHIJIT GANGULI,0,
120,A,CEL735,HYDROLOGIC PROCESSES & MODELING,3.0,3,0,0,RAKESH KHOSA,0,CORE
121,H,CEL736,ENVIRONMENTAL DYNAMICS & MANAGEMENT,3.0,3,0,0,R Maheswaran,0,
122,B,CEL737,OPTIMISATION TECHNIQUES IN WATER RESOURCES,3.0,3,0,0,A K KESHARI,0,CORE
123,E,CEL739,GROUNDWATER HYDROLOGY,3.0,3,0,0,BHAGU CHAHAR,0,CORE
124,F,CEL741,SURFACE WATER QUALITY MODELING AND CONTROL,3.0,3,0,0,RAKESH KHOSA,0,CORE
125,D,CEL751,ENGINEERING PROPERTIES OF ROCKS & ROCK,3.0,3,0,0,K G SHARMA,0,CORE
126,A,CEL753,STRUCTURAL GEOLOGY,3.0,2,0,2,K S RAO,0,CORE
127,B,CEL754,GEOTECHNICAL PROCESSES IN ROCK ENGG,3.0,3,0,0,MANOJ DATTA,0,CORE
128,E,CEL757,FIELD EXPLORATION AND MEASUREMENT,3.0,3,0,0,R AYOTHIRAMA N,0,CORE
129,C,CEL760,FINITE ELEMENT METHOD IN GEOTECHNICAL ENGG,3.0,3,0,0,K G SHARMA,0,
130,B,CEL769,PROJECT PLANNING & CONTROL,3.0,2,1,0,J MAHESWARI,0,CORE
131,D,CEL771,CIVIL ENGG MATERIALS,3.0,3,0,0,SHASHANK BISHNOI,0,CORE
132,F,CEL772,QUANTITATIVE METHODS IN CONSTRUCTION MANAGEMENT,3.0,2,1,0,K CHANDRASHE KHAR IYER,0,CORE
133,E,CEL773,MANAGEMENT OF QUALITY AND SAFETY IN CONSTRUCTION,3.0,2,1,0,J MAHESWARI,0,CORE
134,C,CEL774,CONSTRUCTION ENGINEERING PRACTICES,3.0,3,0,0,SUPRATIC GUPTA,0,CORE
135,A,CEL777,BUILDING SCIENCE,3.0,3,0,0,B BHATTACHAR JEE,0,
136,A,CEL781,URBAN & REGIONAL TRANSPORTATION PLANNING,3.0,2,0,2,GEETAM TEWARI,0,CORE
137,C,CEL782,PAVEMENT MATERIALS AND CONSTRUCTION TECHNIQUES,3.0,2,0,2,Aravind Krishna Swamy,0,CORE
138,D,CEL783,TRAFFIC ENGG,4.0,3,0,2,RAMACHAND RA KALAGA,0,CORE
139,L,CEL787,TRANSPORTATION SAFETY AND ENVIRONMENT,3.0,3,0,0,DINESH MOHAN,0,
140,K,CEL788,PUBLIC TRANSPORTATION SYSTEMS,3.0,3,0,0,GEETAM TEWARI,0,
141,A,CEL789,TRANSPORTATION SYSTEMS MANAGEMENT,3.0,3,0,0,GEETAM TEWARI,0,
142,A,CEL793,AIR POLLUTION AND CONTROL,4.0,3,0,2,MUKESH KHARE,0,CORE
143,E,CEL795,WATER AND WASTE- WATER TREATMENT PROCESSES,3.0,3,0,0,ARUN KUMAR,0,CORE
144,D,CEL801,ADVANCED ROCK MECHANICS,3.0,3,0,0,TANUSREE CHAKRABORT Y,0,
145,C,CEL817,"STRUCTURAL SAFETY & RELIABILITY",3.0,3,0,0,T K DATTA,0,
