S No,Slot,Course Code,Course Description,Course Credit,L,T,P,Course Co-Ordinator,Registered
603,F,TTL362,THEORY OF TEXTILE STRUCTURES,5,3,2,0,R CHATTOPADHYAY,59
604,F,TTL724,TEXTURED YARN TECHNOLOGY,3,3,0,0,KUSHAL SEN,39
605,F,TTP241,TECHNOLOGY OF TEXTILE PREARATION & FINISHING LAB,1.5,0,0,3,B S BUTOLA,55
606,H,TTL742,THEORY AND PRACTICE OF TEXTILE FINISHING,3,2,0,2,DEEPTI GUPTA,7
607,H,TTL321,MECHANICS OF SPINNING MACHINERY,3,2,1,0,R S RENGASAMY,52
608,J,TTL311,HIGH PERFORMANCE AND SPECIALTY FIBRES,3,3,0,0,MANJEET JASSAL,46
609,J,TTL866,FUNCTIONAL & HIGH PERFORMANCE TEXTILES,3,2,1,0,BHUVANESH GUPTA,17
610,J,TTP761,EVALUATION OF TEXTILE MATERIAL,1,0,0,2,APURBA DAS,26
611,N,TTN110,INTRODUCTION TO TEXTILE TECHNOLOGY,2,0,0,4,P K BANERJEE,78
612,P,TTP711,POLYMER & FIBRE CHEMISTRY LABORATORY,1.5,0,0,3,BHUVANESH GUPTA,17
613,P,TTP712,POLYMER & FIBRE PHYSICS LABORATORY,1.5,0,0,3,MANGALA JOSHI,17
614,P,TTS891,INDEPENDENT STUDY,3,0,3,0,B L DEOPURA,1
615,P,TTL761,COSTING PROJECT FORMULATION AND APPRAISAL,3,2,1,0,S M ISHTIAQUE,10
616,P,TTD891,MAJOR PROJECT PART-I,6,0,0,12,KUSHAL SEN,4
617,P,TTD893,MAJOR PROJECT PART-I,6,0,0,12,APURBA DAS,15
618,P,TTC410,COLLOQUIUM (TT),3,0,3,0,SAMRAT MUKHOPADHYAY,42
619,P,TTD411,MAJOR PROJECT PART 1 (TT),3,0,0,6,DIPAYAN DAS,40
620,A,CRL711,CAD OF RF AND MICROWAVE DEVICES,4,3,0,2,S K KAUL,36
621,B,CRL722,RF AND MICROWAVE SOLID STATE DEVICES,3,3,0,0,SUDHIR CHANDRA,71
622,B,CRL733,SELECTED TOPICS IN RFDT-III,3,3,0,0,ANANJAN BASU,10
623,C,CRL732,SELECTED TOPICS IN RFDT-II,3,3,0,0,MONIKA AGGARWAL,24
624,D,CRL707,HUMAN & MACHINE SPEECH COMMUNICATION,3,3,0,0,ARUN KUMAR,12
625,F,CRL715,RADIATING SYSTEM FOR RF COMMUNICATION,3,3,0,0,MAHESH P ABEGAONKAR,21
626,H,CRL713,FUNDAMENTAL OF RF ELECTRONICS,3,2,0,2,B S PANWAR,43
627,H,CRL731,SELECTED TOPICS IN RFDT-I,3,3,0,0,RAJENDRA BAHL,5
628,P,CRD811,MAJOR PROJECT PART-I,6,0,0,12,B S PANWAR,21
629,P,CRD812,MAJOR PROJECT PART 2,12,0,0,24,B S PANWAR,80
630,P,CRD802,MINOR PROJECT,3,0,0,6,B S PANWAR,80
631,S,CRP723,FABRICATION TECHNIQUES FOR RF & MICROWAVE DEVICES,3,1,0,4,SUDHIR CHANDRA,40
632,A,ASL703,PHYSICS OF ATMOSPHERE AND OCEAN,3,3,0,0,S K DASH,18
633,B,ASL705,BOUNDARY LAYER METEOROLOGY AND AIR POLLUTION,3,3,0,0,PRAMILA GOEL,15
634,C,ASL701,DYNAMICS OF ATMOSPHERE AND OCEAN,3,3,0,0,H C UPADHYAYA,17
635,D,ASL715,SCIENCE OF CLIMATE CHANGE,4,3,0,2,KRISHNA ACHUTA RAO,30
636,E,ASL803,ADVANCED DYNAMIC OCEANOGRAPHY,3,3,0,0,A D RAO,3
637,H,ASC861,ATMOSPHERIC SCIENCE COLLOQUIUM,1,0,1,0,S K DASH,4
638,K,ASL710,ATMOSHPHERIC PHYSICS,3,3,0,0,R C RAGHAVA,52
639,P,ASP801,SIMULATION LAB-III OCEAN-ATMOSPHERE FORECAST METH,3,0,1,4,H C UPADHYAYA,3
640,P,ASD892,MAJOR PROJECT PART-II,12,0,0,24,MANJU MOHAN,80
641,P,ASP751,SIMULATION LAB-I: WHETHERANALYSIS & FORECASTING,2,0,0,4,R C RAGHAVA,13
642,P,ASD891,MAJOR PROJECT PART-I,6,0,0,12,MANJU MOHAN,3
643,H,BML700,INTRODUCTION TO BASIC MEDICAL SCS FOR ENGINEERS,3,3,0,0,NIVEDTTA KARMAKAR,11
644,P,BMV850,EMERGING BIO-MEDICAL TECHNOLOGY AND HEALTH CARE,1,1,0,0,SNEH ANAND,80
645,A,ESL732,BIOCONVERSION AND PROCESSING OF WASTE,3,3,0,0,M G DASTIDAR,11
646,B,ESL740,NON-CONVENTIONAL SOURCES OF ENERGY,3,3,0,0,H DPANDEY,105
647,B,ESL360,DIRECT ENERGY CONVERSION,4,3,1,0,A GANGULI,13
648,B,ESL330,"ENERGY, ECOLOGY AND ENVIRONMENT",4,3,1,0,T C KANDPAL,30
649,C,ESL714,POWER PLANT ENGG,3,3,0,0,K A SUBRAMANIAN,21
650,D,ESL760,HEAT TRANSFER,3,3,0,0,S C MULLICK,36
651,D,ESL870,FUSION ENERGY,3,3,0,0,H DPANDEY,4
652,D,JED801,MAJOR PROJECT PART-I,6,0,0,12,K A SUBRAMANIAN,19
653,E,ESL774,QUANTITATIVE METHODS FORENERGY MANAGEMENT & PLG,3,3,0,0,SAT NARAIN,4
654,F,ESL875,ALTERNATIVE FUELS FOR TRANSPORTATION,3,3,0,0,L M DAS,21
655,F,ESL711,FUEL TECHNOLOGY,3,3,0,0,D K SHARMA,85
656,H,ESL860,ELECTRICAL POWER SYSTEMS ANALYSIS,3,3,0,0,R BALASUBRAMANIAM,9
657,J,ESL770,SOLAR ENERGY UTILIZATION,3,3,0,0,G N TEWARI,41
658,K,ESL810,MHD POWER GENERATION,3,3,0,0,R P SHARMA,11
659,K,ESL850,SOLAR REFRIGERATION AND AIR CONDITIONING,3,3,0,0,S C KAUSHIK,8
660,M,ESL768,WIND & SMALL HYDRO ENERGY SYSTMS,3,3,0,0,T SBHATTI,64
